Chg, spotDist, metRelChg, volChg, target
179, 20, 145, 26, HOLD
161, 21, 146, 15, HOLD
134, 21, 121, 19, HOLD
150, 20, 135, 23, HOLD
161, 20, 147, 42, HOLD
188, 20, 150, 0, HOLD
172, 21, 140, 58, HOLD
183, 21, 155, 1, HOLD
183, 22, 132, 43, HOLD
174, 23, 115, 40, HOLD
169, 24, 126, 11, HOLD
145, 24, 125, 32, HOLD
149, 23, 135, 27, HOLD
163, 23, 142, 34, HOLD
164, 23, 144, 13, HOLD
152, 23, 153, 26, HOLD
157, 23, 152, 16, HOLD
154, 23, 135, 178, HOLD
164, 22, 134, 21, HOLD
178, 22, 158, 8, HOLD
163, 23, 149, 0, HOLD
159, 23, 143, 31, HOLD
157, 23, 132, 17, HOLD
161, 23, 147, 17, HOLD
141, 23, 126, 14, HOLD
148, 22, 132, 32, HOLD
163, 22, 137, 37, HOLD
174, 22, 159, 13, HOLD
175, 22, 155, 57, HOLD
156, 23, 152, 12, HOLD
149, 23, 153, 18, HOLD
152, 22, 150, 7, HOLD
171, 22, 151, 28, HOLD
148, 22, 130, 69, HOLD
159, 22, 142, 21, HOLD
165, 22, 133, 18, HOLD
156, 22, 144, 23, HOLD
159, 22, 128, 38, HOLD
154, 22, 126, 18, HOLD
141, 22, 145, 19, HOLD
137, 21, 142, 15, HOLD
150, 20, 125, 15, HOLD
161, 23, 147, 17, HOLD
141, 23, 126, 14, HOLD
148, 22, 132, 32, HOLD
163, 22, 137, 37, HOLD
174, 22, 159, 13, HOLD
175, 22, 155, 57, HOLD
156, 23, 152, 12, HOLD
149, 23, 153, 18, HOLD
152, 22, 150, 7, HOLD
171, 22, 151, 28, HOLD
148, 22, 130, 69, HOLD
159, 22, 142, 21, HOLD
165, 22, 133, 18, HOLD
156, 22, 144, 23, HOLD
159, 22, 128, 38, HOLD
154, 22, 126, 18, HOLD
141, 22, 145, 19, HOLD
137, 21, 142, 15, HOLD
150, 20, 125, 26, HOLD
160, 19, 144, 29, HOLD
148, 19, 140, 14, HOLD
154, 19, 144, 16, HOLD
132, 18, 120, 7, HOLD
104, 17, 90, 14, HOLD
175, 15, 155, 34, HOLD
135, 15, 128, 4, HOLD
215, 14, 187, 70, HOLD
154, 17, 145, 25, HOLD
161, 16, 143, 27, HOLD
182, 16, 163, 19, HOLD
144, 17, 149, 27, HOLD
160, 16, 168, 30, HOLD
157, 16, 153, 22, HOLD
157, 16, 121, 5, HOLD
165, 16, 138, 48, HOLD
142, 16, 128, 152, HOLD
150, 15, 105, 4, HOLD
133, 15, 139, 18, HOLD
175, 14, 139, 11, HOLD
167, 14, 139, 11, HOLD
160, 19, 144, 29, HOLD
148, 19, 140, 14, HOLD
154, 19, 144, 16, HOLD
132, 18, 120, 7, HOLD
104, 17, 90, 14, HOLD
175, 15, 155, 34, HOLD
135, 15, 128, 4, HOLD
215, 14, 187, 70, HOLD
154, 17, 145, 25, HOLD
161, 16, 143, 27, HOLD
182, 16, 163, 19, HOLD
144, 17, 149, 27, HOLD
160, 16, 168, 30, HOLD
157, 16, 153, 22, HOLD
157, 16, 121, 5, HOLD
165, 16, 138, 48, HOLD
142, 16, 128, 152, HOLD
150, 15, 105, 4, HOLD
133, 15, 139, 18, HOLD
175, 14, 139, 11, HOLD
167, 14, 139, 17, HOLD
147, 15, 139, 7, HOLD
158, 14, 139, 29, HOLD
160, 14, 139, 25, HOLD
190, 14, 180, 20, HOLD
178, 15, 180, 27, HOLD
151, 16, 127, 36, HOLD
149, 16, 101, 15, HOLD
151, 15, 134, 42, HOLD
168, 15, 154, 16, HOLD
165, 15, 150, 32, HOLD
150, 15, 143, 10, HOLD
149, 15, 136, 31, HOLD
139, 14, 150, 5, HOLD
137, 13, 177, 36, HOLD
148, 12, 114, 13, HOLD
127, 12, 101, 16, HOLD
104, 10, 70, 11, HOLD
202, 7, 153, 23, HOLD
169, 9, 137, 23, HOLD
175, 14, 139, 11, HOLD
167, 14, 139, 17, HOLD
147, 15, 139, 7, HOLD
158, 14, 139, 29, HOLD
160, 14, 139, 25, HOLD
190, 14, 180, 20, HOLD
178, 15, 180, 27, HOLD
151, 16, 127, 36, HOLD
149, 16, 101, 15, HOLD
151, 15, 134, 42, HOLD
168, 15, 154, 16, HOLD
165, 15, 150, 32, HOLD
150, 15, 143, 10, HOLD
149, 15, 136, 31, HOLD
139, 14, 150, 5, HOLD
137, 13, 177, 36, HOLD
148, 12, 114, 13, HOLD
127, 12, 101, 16, HOLD
104, 10, 70, 11, HOLD
202, 7, 153, 23, HOLD
169, 9, 137, 33, HOLD
148, 10, 126, 19, HOLD
231, 9, 127, 14, HOLD
183, 12, 125, 50, HOLD
121, 13, 106, 21, HOLD
119, 11, 103, 43, HOLD
141, 10, 119, 18, HOLD
141, 9, 129, 4, HOLD
139, 8, 74, 36, HOLD
193, 7, 169, 34, HOLD
175, 8, 124, 21, HOLD
238, 9, 32, 10, HOLD
255, 12, 121, 26, HOLD
228, 17, 0, 20, HOLD
166, 19, 69, 37, HOLD
160, 20, 55, 23, HOLD
212, 20, 108, 37, HOLD
142, 22, 175, 255, HOLD
90, 21, 48, 1, HOLD
0, 18, 138, 5, HOLD
122, 11, 255, 48, HOLD
175, 9, 192, 14, HOLD
159, 9, 139, 14, HOLD
