Chg, spotDist, metRelChg, volChg, target
74, 22, 208, 15, HOLD
94, 21, 185, 19, HOLD
114, 21, 155, 56, HOLD
63, 22, 147, 49, HOLD
72, 21, 160, 13, HOLD
36, 21, 165, 27, HOLD
101, 19, 218, 26, HOLD
105, 19, 161, 47, HOLD
80, 20, 253, 32, HOLD
110, 20, 115, 28, HOLD
67, 20, 142, 53, HOLD
108, 20, 139, 29, HOLD
92, 20, 166, 42, HOLD
63, 20, 200, 29, HOLD
48, 19, 255, 14, HOLD
24, 18, 226, 17, HOLD
31, 16, 143, 29, HOLD
60, 14, 110, 54, HOLD
21, 13, 171, 16, HOLD
48, 11, 142, 31, HOLD
47, 10, 69, 93, HOLD
54, 8, 0, 19, HOLD
46, 7, 88, 31, HOLD
81, 6, 165, 63, HOLD
48, 6, 180, 14, HOLD
0, 4, 160, 19, HOLD
52, 1, 220, 42, HOLD
110, 0, 144, 21, HOLD
120, 1, 207, 64, HOLD
255, 2, 203, 3, HOLD
235, 7, 188, 46, HOLD
14, 11, 162, 49, HOLD
76, 9, 148, 58, HOLD
53, 9, 135, 24, HOLD
7, 7, 138, 22, HOLD
167, 5, 227, 23, HOLD
156, 7, 201, 41, HOLD
105, 9, 147, 37, HOLD
64, 10, 118, 46, HOLD
137, 9, 172, 35, HOLD
80, 10, 170, 22, HOLD
54, 10, 149, 22, HOLD
48, 11, 142, 31, HOLD
47, 10, 69, 93, HOLD
54, 8, 0, 19, HOLD
46, 7, 88, 31, HOLD
81, 6, 165, 63, HOLD
48, 6, 180, 14, HOLD
0, 4, 160, 19, HOLD
52, 1, 220, 42, HOLD
110, 0, 144, 21, HOLD
120, 1, 207, 64, HOLD
255, 2, 203, 3, HOLD
235, 7, 188, 46, HOLD
14, 11, 162, 49, HOLD
76, 9, 148, 58, HOLD
53, 9, 135, 24, HOLD
7, 7, 138, 22, HOLD
167, 5, 227, 23, HOLD
156, 7, 201, 41, HOLD
105, 9, 147, 37, HOLD
64, 10, 118, 46, HOLD
137, 9, 172, 35, HOLD
80, 10, 170, 22, HOLD
54, 10, 149, 18, HOLD
79, 9, 153, 54, HOLD
46, 8, 173, 52, HOLD
63, 7, 165, 22, HOLD
152, 6, 138, 28, HOLD
134, 8, 158, 37, HOLD
97, 10, 140, 33, HOLD
113, 10, 182, 18, HOLD
58, 10, 122, 78, HOLD
44, 9, 139, 24, HOLD
110, 8, 175, 50, HOLD
78, 9, 176, 34, HOLD
66, 8, 203, 24, HOLD
86, 7, 162, 22, HOLD
131, 7, 120, 38, HOLD
76, 9, 152, 60, HOLD
178, 8, 116, 3, HOLD
120, 11, 93, 52, HOLD
164, 12, 125, 16, HOLD
133, 14, 54, 43, HOLD
88, 15, 173, 43, HOLD
46, 8, 173, 52, HOLD
63, 7, 165, 22, HOLD
152, 6, 138, 28, HOLD
134, 8, 158, 37, HOLD
97, 10, 140, 33, HOLD
113, 10, 182, 18, HOLD
58, 10, 122, 78, HOLD
44, 9, 139, 24, HOLD
110, 8, 175, 50, HOLD
78, 9, 176, 34, HOLD
66, 8, 203, 24, HOLD
86, 7, 162, 22, HOLD
131, 7, 120, 38, HOLD
76, 9, 152, 60, HOLD
178, 8, 116, 3, HOLD
120, 11, 93, 52, HOLD
164, 12, 125, 16, HOLD
133, 14, 54, 43, HOLD
88, 15, 173, 60, HOLD
83, 15, 221, 31, HOLD
32, 15, 182, 36, HOLD
80, 13, 165, 24, HOLD
73, 13, 135, 33, HOLD
76, 12, 153, 45, HOLD
93, 12, 153, 43, HOLD
104, 12, 153, 22, HOLD
122, 13, 153, 43, HOLD
76, 14, 153, 34, HOLD
35, 13, 153, 22, HOLD
