Chg, spotDist, metRelChg, volDiff, target
50, 236, 92, 69, HOLD
31, 137, 44, 207, HOLD
11, 45, 53, 233, HOLD
12, 247, 71, 241, HOLD
13, 45, 53, 101, HOLD
49, 62, 103, 228, HOLD
15, 133, 21, 184, HOLD
50, 79, 92, 69, WRITE
66, 93, 115, 113, WRITE
24, 212, 82, 140, HOLD
11, 134, 53, 233, HOLD
4, 71, 76, 241, WRITE
13, 202, 53, 101, HOLD
12, 123, 71, 241, HOLD
16, 63, 77, 177, HOLD
107, 180, 155, 0, HOLD
13, 12, 53, 101, HOLD
15, 77, 21, 184, WRITE
60, 74, 100, 219, WRITE
32, 30, 1, 223, HOLD
40, 157, 100, 220, HOLD
82, 58, 134, 205, HOLD
62, 202, 122, 196, HOLD
8, 89, 20, 226, HOLD
21, 82, 54, 199, WRITE
8, 134, 20, 226, HOLD
4, 72, 50, 175, WRITE
131, 78, 190, 171, WRITE
49, 144, 123, 143, HOLD
58, 78, 27, 195, WRITE
40, 45, 100, 220, HOLD
72, 241, 130, 187, HOLD
131, 22, 190, 171, HOLD
11, 127, 53, 206, HOLD
11, 83, 53, 206, WRITE
59, 88, 101, 104, WRITE
11, 178, 79, 212, HOLD
68, 68, 118, 141, WRITE
11, 34, 53, 233, HOLD
62, 79, 122, 196, WRITE
11, 87, 0, 190, WRITE
15, 21, 10, 174, HOLD
133, 67, 178, 148, WRITE
56, 87, 90, 1, HOLD
11, 21, 79, 212, HOLD
67, 141, 40, 101, HOLD
32, 75, 1, 223, WRITE
255, 20, 255, 163, HOLD
31, 67, 85, 228, HOLD
180, 82, 207, 234, WRITE
32, 142, 1, 223, HOLD
11, 180, 22, 228, HOLD
60, 63, 100, 219, HOLD
24, 89, 82, 140, WRITE
11, 76, 0, 190, WRITE
24, 100, 82, 140, HOLD
4, 74, 41, 193, WRITE
21, 150, 54, 199, HOLD
4, 168, 89, 202, HOLD
7, 214, 57, 207, HOLD
15, 43, 10, 174, HOLD
24, 20, 88, 185, HOLD
0, 216, 20, 207, HOLD
13, 191, 53, 101, HOLD
96, 81, 102, 138, WRITE
62, 168, 122, 196, HOLD
31, 70, 44, 207, WRITE
15, 77, 10, 174, WRITE
24, 99, 88, 185, HOLD
8, 123, 20, 226, HOLD
58, 145, 27, 195, HOLD
66, 71, 115, 113, WRITE
4, 127, 76, 241, HOLD
67, 40, 40, 101, HOLD
180, 37, 207, 234, HOLD
58, 234, 27, 195, HOLD
13, 90, 53, 101, WRITE
11, 78, 53, 233, WRITE
20, 78, 69, 255, WRITE
46, 77, 79, 218, WRITE
11, 26, 53, 206, HOLD
11, 77, 79, 212, WRITE
45, 235, 12, 144, HOLD
7, 34, 57, 207, HOLD
29, 161, 80, 203, HOLD
45, 11, 12, 144, HOLD
4, 85, 41, 193, WRITE
29, 72, 80, 203, WRITE
50, 169, 92, 69, HOLD
20, 201, 69, 255, HOLD
20, 179, 69, 255, HOLD
67, 85, 40, 101, WRITE
131, 34, 190, 171, HOLD
20, 112, 69, 255, HOLD
255, 76, 255, 163, WRITE
21, 94, 54, 199, WRITE
91, 75, 102, 157, WRITE
11, 38, 53, 206, HOLD
131, 11, 190, 171, HOLD
66, 172, 115, 113, HOLD
0, 70, 20, 207, WRITE
4, 60, 50, 175, HOLD
4, 105, 76, 241, HOLD
68, 46, 118, 141, HOLD
26, 23, 24, 126, HOLD
4, 145, 89, 202, HOLD
11, 71, 53, 206, WRITE
58, 89, 27, 195, WRITE
36, 87, 116, 235, WRITE
24, 77, 82, 140, WRITE
24, 189, 82, 140, HOLD
72, 84, 130, 187, WRITE
58, 156, 27, 195, HOLD
8, 22, 20, 226, HOLD
44, 89, 89, 190, HOLD
31, 78, 85, 228, WRITE
31, 112, 85, 228, HOLD
68, 79, 118, 141, WRITE
49, 32, 123, 143, HOLD
7, 113, 57, 207, HOLD
41, 71, 87, 174, WRITE
16, 86, 77, 177, WRITE
29, 229, 80, 203, HOLD
67, 74, 40, 101, WRITE
82, 69, 134, 205, WRITE
40, 134, 100, 220, HOLD
82, 148, 134, 205, HOLD
72, 196, 130, 187, HOLD
26, 56, 24, 126, HOLD
29, 94, 80, 203, WRITE
131, 67, 190, 171, WRITE
180, 250, 207, 234, HOLD
4, 78, 89, 202, WRITE
107, 79, 155, 0, WRITE
11, 66, 79, 212, HOLD
11, 88, 79, 212, WRITE
29, 83, 80, 203, WRITE
60, 175, 100, 219, HOLD
