Chg, spotDist, metRelChg, volChg, target
79, 34, 145, 29, HOLD
106, 33, 135, 29, HOLD
105, 33, 99, 38, HOLD
142, 32, 163, 37, HOLD
90, 32, 126, 30, HOLD
75, 31, 148, 35, HOLD
54, 30, 111, 25, HOLD
100, 28, 106, 32, HOLD
0, 28, 111, 25, HOLD
181, 25, 132, 41, HOLD
134, 26, 151, 32, HOLD
233, 26, 186, 40, HOLD
95, 27, 117, 47, HOLD
113, 26, 174, 28, HOLD
75, 26, 192, 37, HOLD
159, 25, 255, 23, HOLD
158, 25, 199, 42, HOLD
192, 25, 179, 23, HOLD
134, 26, 206, 44, HOLD
123, 26, 158, 28, HOLD
121, 26, 113, 41, HOLD
164, 26, 96, 25, HOLD
172, 26, 163, 30, HOLD
160, 27, 172, 38, HOLD
103, 27, 168, 37, HOLD
107, 27, 198, 25, HOLD
152, 26, 224, 40, HOLD
246, 26, 197, 16, HOLD
172, 28, 174, 40, HOLD
90, 29, 0, 46, HOLD
109, 28, 22, 88, HOLD
178, 27, 239, 26, HOLD
146, 28, 155, 58, HOLD
41, 28, 91, 36, HOLD
46, 26, 135, 17, HOLD
28, 24, 44, 29, HOLD
176, 22, 143, 37, HOLD
181, 23, 156, 32, HOLD
162, 24, 159, 30, HOLD
158, 24, 128, 44, HOLD
91, 25, 127, 23, HOLD
120, 24, 156, 23, HOLD
123, 26, 158, 28, HOLD
121, 26, 113, 41, HOLD
164, 26, 96, 25, HOLD
172, 26, 163, 30, HOLD
160, 27, 172, 38, HOLD
103, 27, 168, 37, HOLD
107, 27, 198, 25, HOLD
152, 26, 224, 40, HOLD
246, 26, 197, 16, HOLD
172, 28, 174, 40, HOLD
90, 29, 0, 46, HOLD
109, 28, 22, 88, HOLD
178, 27, 239, 26, HOLD
146, 28, 155, 58, HOLD
41, 28, 91, 36, HOLD
46, 26, 135, 17, HOLD
28, 24, 44, 29, HOLD
176, 22, 143, 37, HOLD
181, 23, 156, 32, HOLD
162, 24, 159, 30, HOLD
158, 24, 128, 44, HOLD
91, 25, 127, 23, HOLD
120, 24, 156, 24, HOLD
77, 23, 107, 28, HOLD
86, 22, 153, 46, HOLD
127, 21, 163, 19, HOLD
203, 21, 127, 43, HOLD
178, 22, 137, 25, HOLD
91, 23, 94, 30, HOLD
104, 22, 116, 23, HOLD
160, 21, 164, 66, HOLD
184, 22, 204, 24, HOLD
130, 22, 132, 39, HOLD
70, 22, 117, 42, HOLD
107, 21, 169, 29, HOLD
147, 20, 156, 39, HOLD
165, 20, 107, 22, HOLD
65, 21, 100, 29, HOLD
181, 19, 77, 28, HOLD
152, 20, 90, 44, HOLD
233, 21, 131, 22, HOLD
255, 22, 129, 32, HOLD
96, 25, 125, 32, HOLD
86, 22, 153, 46, HOLD
127, 21, 163, 19, HOLD
203, 21, 127, 43, HOLD
178, 22, 137, 25, HOLD
91, 23, 94, 30, HOLD
104, 22, 116, 23, HOLD
160, 21, 164, 66, HOLD
184, 22, 204, 24, HOLD
130, 22, 132, 39, HOLD
70, 22, 117, 42, HOLD
107, 21, 169, 29, HOLD
147, 20, 156, 39, HOLD
165, 20, 107, 22, HOLD
65, 21, 100, 29, HOLD
181, 19, 77, 28, HOLD
152, 20, 90, 44, HOLD
233, 21, 131, 22, HOLD
255, 22, 129, 32, HOLD
96, 25, 125, 55, HOLD
105, 24, 165, 37, HOLD
153, 23, 217, 30, HOLD
88, 23, 121, 27, HOLD
247, 22, 223, 23, HOLD
214, 25, 142, 34, HOLD
50, 26, 142, 65, HOLD
157, 24, 142, 41, HOLD
65, 25, 142, 17, HOLD
65, 23, 142, 48, HOLD
69, 22, 142, 25, HOLD
132, 20, 167, 50, HOLD
185, 20, 121, 27, HOLD
127, 21, 116, 45, HOLD
129, 21, 117, 21, HOLD
109, 21, 146, 45, HOLD
127, 20, 149, 30, HOLD
70, 20, 110, 22, HOLD
40, 18, 118, 32, HOLD
156, 16, 131, 35, HOLD
182, 17, 178, 48, HOLD
200, 17, 160, 22, HOLD
163, 19, 144, 44, HOLD
178, 19, 102, 44, HOLD
153, 23, 217, 30, HOLD
88, 23, 121, 27, HOLD
247, 22, 223, 23, HOLD
214, 25, 142, 34, HOLD
50, 26, 142, 65, HOLD
157, 24, 142, 41, HOLD
65, 25, 142, 17, HOLD
65, 23, 142, 48, HOLD
69, 22, 142, 25, HOLD
132, 20, 167, 50, HOLD
185, 20, 121, 27, HOLD
127, 21, 116, 45, HOLD
129, 21, 117, 21, HOLD
109, 21, 146, 45, HOLD
127, 20, 149, 30, HOLD
70, 20, 110, 22, HOLD
40, 18, 118, 32, HOLD
156, 16, 131, 35, HOLD
182, 17, 178, 48, HOLD
200, 17, 160, 22, HOLD
163, 19, 144, 44, HOLD
178, 19, 102, 20, HOLD
149, 20, 91, 46, HOLD
157, 20, 158, 29, HOLD
132, 21, 162, 32, HOLD
70, 20, 149, 40, HOLD
186, 19, 160, 19, HOLD
80, 20, 178, 48, HOLD
87, 19, 171, 31, HOLD
84, 18, 74, 23, HOLD
210, 16, 158, 38, HOLD
118, 18, 102, 42, HOLD
137, 18, 141, 34, HOLD
112, 17, 154, 36, HOLD
32, 17, 96, 19, HOLD
161, 15, 165, 48, HOLD
127, 15, 144, 30, HOLD
176, 15, 158, 40, HOLD
39, 16, 107, 26, HOLD
117, 13, 105, 35, HOLD
101, 13, 91, 33, HOLD
111, 12, 131, 53, HOLD
53, 11, 86, 53, HOLD
157, 20, 158, 29, HOLD
132, 21, 162, 32, HOLD
70, 20, 149, 40, HOLD
186, 19, 160, 19, HOLD
80, 20, 178, 48, HOLD
87, 19, 171, 31, HOLD
84, 18, 74, 23, HOLD
210, 16, 158, 38, HOLD
118, 18, 102, 42, HOLD
137, 18, 141, 34, HOLD
112, 17, 154, 36, HOLD
32, 17, 96, 19, HOLD
161, 15, 165, 48, HOLD
127, 15, 144, 30, HOLD
176, 15, 158, 40, HOLD
39, 16, 107, 26, HOLD
117, 13, 105, 35, HOLD
101, 13, 91, 33, HOLD
111, 12, 131, 53, HOLD
53, 11, 86, 86, HOLD
0, 10, 58, 255, HOLD
105, 6, 182, 79, HOLD
146, 6, 187, 27, HOLD
108, 6, 109, 67, HOLD
113, 5, 152, 40, HOLD
117, 4, 120, 0, HOLD
178, 4, 167, 31, HOLD
104, 5, 78, 35, HOLD
121, 4, 146, 23, HOLD
79, 4, 110, 30, HOLD
183, 2, 158, 51, HOLD
145, 3, 165, 38, HOLD
93, 3, 150, 34, HOLD
93, 2, 156, 30, HOLD
93, 1, 136, 26, HOLD
173, 0, 124, 29, HOLD
211, 1, 156, 40, HOLD
183, 3, 155, 33, HOLD
90, 4, 121, 66, HOLD
85, 2, 165, 30, HOLD
169, 1, 135, 30, HOLD
79, 43, 145, 29, HOLD
106, 42, 135, 29, HOLD
105, 42, 99, 38, HOLD
142, 41, 163, 37, HOLD
90, 41, 126, 30, HOLD
75, 40, 148, 35, HOLD
54, 39, 111, 25, HOLD
100, 37, 106, 32, HOLD
0, 37, 111, 25, HOLD
181, 34, 132, 41, HOLD
134, 35, 151, 32, HOLD
233, 35, 186, 40, HOLD
95, 37, 117, 47, HOLD
113, 36, 174, 28, HOLD
75, 35, 192, 37, HOLD
159, 34, 255, 23, HOLD
158, 34, 199, 42, HOLD
192, 35, 179, 23, HOLD
134, 36, 206, 44, HOLD
123, 36, 158, 28, HOLD
121, 35, 113, 41, HOLD
164, 35, 96, 25, HOLD
172, 35, 163, 30, HOLD
160, 36, 172, 38, HOLD
103, 36, 168, 37, HOLD
107, 36, 198, 25, HOLD
152, 35, 224, 40, HOLD
246, 35, 197, 16, HOLD
172, 37, 174, 40, HOLD
90, 38, 0, 46, HOLD
109, 37, 22, 88, HOLD
178, 37, 239, 26, HOLD
146, 37, 155, 58, HOLD
41, 37, 91, 36, HOLD
