Chg, spotDist, metRelChg, volChg, target
90, 89, 90, 134, BUY
158, 86, 141, 28, BUY
201, 91, 170, 113, BUY
107, 99, 111, 87, BUY
63, 98, 111, 139, BUY
67, 92, 90, 53, BUY
124, 87, 132, 199, BUY
139, 87, 119, 113, BUY
112, 89, 119, 56, BUY
110, 89, 118, 66, BUY
97, 88, 131, 58, BUY
73, 85, 83, 29, BUY
120, 81, 106, 207, BUY
27, 81, 62, 15, BUY
193, 71, 165, 192, BUY
110, 79, 112, 187, BUY
81, 78, 45, 51, BUY
90, 74, 82, 79, BUY
59, 71, 85, 67, BUY
8, 64, 64, 36, BUY
67, 51, 138, 125, BUY
94, 44, 120, 162, BUY
71, 42, 53, 56, BUY
0, 36, 29, 51, BUY
105, 20, 120, 132, BUY
250, 19, 255, 47, BUY
255, 35, 218, 90, BUY
144, 51, 139, 198, BUY
128, 54, 135, 110, BUY
87, 55, 118, 85, BUY
67, 52, 120, 77, BUY
34, 45, 74, 73, BUY
174, 35, 158, 62, BUY
51, 42, 37, 86, BUY
222, 33, 140, 73, BUY
171, 46, 86, 183, BUY
69, 52, 112, 82, BUY
146, 46, 152, 152, BUY
87, 49, 91, 46, BUY
106, 46, 150, 105, BUY
136, 44, 115, 122, BUY
114, 46, 83, 122, BUY
8, 64, 64, 36, BUY
67, 51, 138, 125, BUY
94, 44, 120, 162, BUY
71, 42, 53, 56, BUY
0, 36, 29, 51, BUY
105, 20, 120, 132, BUY
250, 19, 255, 47, BUY
255, 35, 218, 90, BUY
144, 51, 139, 198, BUY
128, 54, 135, 110, BUY
87, 55, 118, 85, BUY
67, 52, 120, 77, BUY
34, 45, 74, 73, BUY
174, 35, 158, 62, BUY
51, 42, 37, 86, BUY
222, 33, 140, 73, BUY
171, 46, 86, 183, BUY
69, 52, 112, 82, BUY
146, 46, 152, 152, BUY
87, 49, 91, 46, BUY
106, 46, 150, 105, BUY
136, 44, 115, 122, BUY
114, 46, 83, 103, BUY
100, 46, 73, 108, BUY
131, 43, 126, 50, BUY
132, 45, 103, 90, BUY
108, 47, 116, 107, BUY
108, 45, 123, 29, BUY
110, 44, 109, 154, BUY
39, 43, 59, 102, BUY
79, 33, 90, 110, BUY
144, 28, 87, 110, BUY
51, 32, 0, 13, BUY
135, 23, 118, 240, BUY
149, 25, 146, 45, BUY
123, 29, 123, 166, BUY
92, 29, 106, 87, BUY
105, 26, 92, 127, BUY
103, 24, 115, 98, BUY
64, 22, 90, 23, BUY
91, 15, 86, 137, BUY
175, 12, 131, 137, BUY
132, 45, 103, 90, BUY
108, 47, 116, 107, BUY
108, 45, 123, 29, BUY
110, 44, 109, 154, BUY
39, 43, 59, 102, BUY
79, 33, 90, 110, BUY
144, 28, 87, 110, BUY
51, 32, 0, 13, BUY
135, 23, 118, 240, BUY
149, 25, 146, 45, BUY
123, 29, 123, 166, BUY
92, 29, 106, 87, BUY
105, 26, 92, 127, BUY
103, 24, 115, 98, BUY
64, 22, 90, 23, BUY
91, 15, 86, 137, BUY
175, 12, 131, 60, BUY
128, 19, 132, 130, BUY
149, 20, 63, 24, BUY
193, 24, 146, 172, BUY
159, 33, 90, 79, BUY
144, 39, 55, 95, BUY
117, 42, 121, 216, BUY
79, 41, 106, 78, BUY
59, 37, 98, 63, BUY
75, 29, 72, 70, BUY
121, 24, 117, 118, BUY
133, 24, 111, 129, BUY
89, 26, 111, 53, BUY
80, 22, 111, 96, BUY
114, 17, 111, 160, BUY
90, 17, 111, 32, BUY
69, 13, 111, 51, BUY
115, 6, 134, 149, BUY
208, 6, 171, 29, BUY
145, 17, 127, 251, BUY
119, 21, 95, 92, BUY
120, 21, 135, 112, BUY
112, 21, 118, 75, BUY
77, 20, 76, 57, BUY
83, 15, 110, 131, BUY
143, 10, 120, 131, BUY
193, 24, 146, 172, BUY
159, 33, 90, 79, BUY
144, 39, 55, 95, BUY
117, 42, 121, 216, BUY
79, 41, 106, 78, BUY
59, 37, 98, 63, BUY
75, 29, 72, 70, BUY
121, 24, 117, 118, BUY
133, 24, 111, 129, BUY
89, 26, 111, 53, BUY
80, 22, 111, 96, BUY
114, 17, 111, 160, BUY
90, 17, 111, 32, BUY
69, 13, 111, 51, BUY
115, 6, 134, 149, BUY
208, 6, 171, 29, BUY
145, 17, 127, 251, BUY
119, 21, 95, 92, BUY
120, 21, 135, 112, BUY
112, 21, 118, 75, BUY
77, 20, 76, 57, BUY
83, 15, 110, 131, BUY
143, 10, 120, 76, BUY
122, 13, 120, 80, BUY
127, 14, 98, 54, BUY
153, 15, 139, 121, BUY
208, 19, 157, 0, BUY
194, 31, 150, 112, BUY
132, 40, 130, 146, BUY
103, 42, 115, 123, BUY
75, 40, 109, 87, BUY
105, 34, 80, 113, BUY
17, 33, 60, 22, BUY
16, 20, 47, 103, BUY
75, 6, 33, 82, BUY
119, 0, 81, 148, BUY
223, 0, 214, 39, BUY
185, 14, 190, 158, BUY
123, 22, 145, 163, BUY
122, 23, 143, 63, BUY
