Chg, spotDist, metRelChg, volChg, target
96, 57, 112, 14, HOLD
105, 55, 106, 18, HOLD
143, 55, 141, 37, HOLD
89, 56, 84, 20, HOLD
119, 55, 130, 16, HOLD
79, 55, 90, 18, HOLD
96, 52, 101, 17, HOLD
125, 51, 120, 35, HOLD
82, 52, 107, 15, HOLD
116, 50, 86, 25, HOLD
98, 49, 93, 28, HOLD
118, 48, 100, 22, HOLD
126, 48, 131, 21, HOLD
80, 49, 93, 15, HOLD
33, 47, 52, 12, HOLD
0, 41, 4, 15, HOLD
78, 33, 84, 24, HOLD
132, 30, 134, 35, HOLD
45, 31, 51, 13, HOLD
83, 26, 80, 16, HOLD
124, 23, 113, 39, HOLD
153, 24, 125, 19, HOLD
99, 26, 85, 24, HOLD
70, 25, 53, 38, HOLD
81, 21, 93, 11, HOLD
39, 19, 49, 16, HOLD
17, 12, 12, 19, HOLD
81, 4, 45, 18, HOLD
113, 0, 113, 25, HOLD
232, 0, 215, 15, HOLD
255, 10, 255, 31, HOLD
11, 20, 0, 21, HOLD
91, 11, 80, 188, HOLD
119, 9, 129, 21, HOLD
51, 9, 54, 18, HOLD
154, 4, 157, 21, HOLD
129, 7, 115, 28, HOLD
135, 8, 130, 15, HOLD
118, 9, 116, 22, HOLD
139, 9, 128, 22, HOLD
92, 11, 88, 12, HOLD
92, 9, 95, 12, HOLD
83, 26, 80, 16, HOLD
124, 23, 113, 39, HOLD
153, 24, 125, 19, HOLD
99, 26, 85, 24, HOLD
70, 25, 53, 38, HOLD
81, 21, 93, 11, HOLD
39, 19, 49, 16, HOLD
17, 12, 12, 19, HOLD
81, 4, 45, 18, HOLD
113, 0, 113, 25, HOLD
232, 0, 215, 15, HOLD
255, 10, 255, 31, HOLD
11, 20, 0, 21, HOLD
91, 11, 80, 188, HOLD
119, 9, 129, 21, HOLD
51, 9, 54, 18, HOLD
154, 4, 157, 21, HOLD
129, 7, 115, 28, HOLD
135, 8, 130, 15, HOLD
118, 9, 116, 22, HOLD
139, 9, 128, 22, HOLD
92, 11, 88, 12, HOLD
92, 9, 95, 12, HOLD
113, 7, 114, 23, HOLD
74, 7, 82, 24, HOLD
98, 3, 105, 17, HOLD
156, 1, 132, 19, HOLD
158, 4, 154, 22, HOLD
144, 8, 144, 23, HOLD
128, 10, 129, 18, HOLD
101, 11, 94, 50, HOLD
94, 10, 99, 15, HOLD
138, 8, 143, 30, HOLD
104, 9, 110, 25, HOLD
96, 8, 116, 18, HOLD
127, 6, 134, 20, HOLD
148, 7, 124, 14, HOLD
97, 10, 91, 38, HOLD
237, 8, 231, 6, HOLD
177, 18, 163, 35, HOLD
185, 22, 164, 15, HOLD
197, 27, 170, 20, HOLD
91, 33, 84, 20, HOLD
74, 7, 82, 24, HOLD
98, 3, 105, 17, HOLD
156, 1, 132, 19, HOLD
158, 4, 154, 22, HOLD
144, 8, 144, 23, HOLD
128, 10, 129, 18, HOLD
101, 11, 94, 50, HOLD
94, 10, 99, 15, HOLD
138, 8, 143, 30, HOLD
104, 9, 110, 25, HOLD
96, 8, 116, 18, HOLD
127, 6, 134, 20, HOLD
148, 7, 124, 14, HOLD
97, 10, 91, 38, HOLD
237, 8, 231, 6, HOLD
177, 18, 163, 35, HOLD
185, 22, 164, 15, HOLD
197, 27, 170, 20, HOLD
91, 33, 84, 37, HOLD
97, 31, 115, 25, HOLD
60, 29, 72, 21, HOLD
129, 25, 141, 19, HOLD
121, 26, 121, 28, HOLD
107, 26, 114, 23, HOLD
98, 25, 114, 28, HOLD
149, 24, 114, 15, HOLD
132, 26, 114, 26, HOLD
84, 27, 114, 27, HOLD
76, 25, 114, 13, HOLD
72, 22, 67, 23, HOLD
162, 18, 146, 16, HOLD
141, 22, 138, 32, HOLD
137, 24, 133, 19, HOLD
90, 25, 90, 30, HOLD
100, 23, 99, 17, HOLD
113, 22, 118, 24, HOLD
92, 21, 107, 16, HOLD
135, 19, 125, 22, HOLD
124, 21, 128, 30, HOLD
137, 21, 127, 16, HOLD
113, 23, 98, 28, HOLD
164, 23, 139, 28, HOLD
60, 29, 72, 21, HOLD
129, 25, 141, 19, HOLD
121, 26, 121, 28, HOLD
107, 26, 114, 23, HOLD
98, 25, 114, 28, HOLD
149, 24, 114, 15, HOLD
132, 26, 114, 26, HOLD
84, 27, 114, 27, HOLD
76, 25, 114, 13, HOLD
72, 22, 67, 23, HOLD
162, 18, 146, 16, HOLD
141, 22, 138, 32, HOLD
137, 24, 133, 19, HOLD
90, 25, 90, 30, HOLD
100, 23, 99, 17, HOLD
113, 22, 118, 24, HOLD
92, 21, 107, 16, HOLD
135, 19, 125, 22, HOLD
124, 21, 128, 30, HOLD
137, 21, 127, 16, HOLD
113, 23, 98, 28, HOLD
164, 23, 139, 9, HOLD
172, 26, 157, 27, HOLD
85, 30, 69, 28, HOLD
96, 28, 99, 23, HOLD
91, 26, 111, 27, HOLD
138, 24, 135, 13, HOLD
61, 26, 81, 20, HOLD
67, 21, 82, 20, HOLD
161, 17, 160, 14, HOLD
160, 21, 155, 41, HOLD
125, 24, 109, 24, HOLD
108, 24, 101, 26, HOLD
98, 24, 106, 22, HOLD
107, 22, 118, 16, HOLD
120, 22, 123, 30, HOLD
128, 22, 138, 15, HOLD
150, 23, 156, 19, HOLD
101, 25, 113, 26, HOLD
140, 24, 135, 15, HOLD
166, 25, 172, 22, HOLD
114, 29, 116, 40, HOLD
148, 29, 164, 40, HOLD
85, 30, 69, 28, HOLD
96, 28, 99, 23, HOLD
91, 26, 111, 27, HOLD
138, 24, 135, 13, HOLD
61, 26, 81, 20, HOLD
67, 21, 82, 20, HOLD
161, 17, 160, 14, HOLD
160, 21, 155, 41, HOLD
125, 24, 109, 24, HOLD
108, 24, 101, 26, HOLD
98, 24, 106, 22, HOLD
107, 22, 118, 16, HOLD
120, 22, 123, 30, HOLD
128, 22, 138, 15, HOLD
150, 23, 156, 19, HOLD
101, 25, 113, 26, HOLD
140, 24, 135, 15, HOLD
166, 25, 172, 22, HOLD
114, 29, 116, 40, HOLD
148, 29, 164, 63, HOLD
159, 31, 187, 255, HOLD
43, 34, 46, 48, HOLD
71, 29, 72, 50, HOLD
108, 25, 93, 48, HOLD
107, 25, 117, 7, HOLD
122, 24, 117, 40, HOLD
84, 24, 63, 73, HOLD
151, 22, 140, 28, HOLD
124, 24, 135, 0, HOLD
129, 25, 138, 25, HOLD
111, 25, 93, 19, HOLD
99, 25, 99, 19, HOLD
63, 24, 60, 14, HOLD
70, 19, 73, 22, HOLD
98, 16, 103, 29, HOLD
99, 14, 60, 11, HOLD
141, 13, 124, 27, HOLD
147, 15, 147, 35, HOLD
101, 17, 100, 40, HOLD
73, 16, 88, 9, HOLD
122, 12, 102, 9, HOLD
96, 58, 112, 14, HOLD
105, 57, 106, 18, HOLD
143, 56, 141, 37, HOLD
89, 57, 84, 20, HOLD
119, 56, 130, 16, HOLD
79, 56, 90, 18, HOLD
96, 54, 101, 17, HOLD
125, 52, 120, 35, HOLD
82, 53, 107, 15, HOLD
116, 51, 86, 25, HOLD
98, 51, 93, 28, HOLD
118, 50, 100, 22, HOLD
126, 50, 131, 21, HOLD
80, 50, 93, 15, HOLD
33, 48, 52, 12, HOLD
0, 42, 4, 15, HOLD
78, 34, 84, 24, HOLD
132, 32, 134, 35, HOLD
45, 33, 51, 13, HOLD
83, 27, 80, 16, HOLD
124, 25, 113, 39, HOLD
153, 25, 125, 19, HOLD
99, 28, 85, 24, HOLD
70, 26, 53, 38, HOLD
81, 23, 93, 11, HOLD
39, 20, 49, 16, HOLD
17, 14, 12, 19, HOLD
81, 5, 45, 18, HOLD
113, 2, 113, 25, HOLD
232, 1, 215, 15, HOLD
255, 11, 255, 31, HOLD
11, 21, 0, 21, HOLD
91, 13, 80, 188, HOLD
119, 11, 129, 21, HOLD
51, 11, 54, 18, HOLD
154, 5, 157, 21, HOLD
129, 8, 115, 28, HOLD
135, 9, 130, 15, HOLD
118, 11, 116, 22, HOLD
139, 11, 128, 22, HOLD
92, 12, 88, 12, HOLD
92, 10, 95, 12, HOLD
83, 27, 80, 16, HOLD
124, 25, 113, 39, HOLD
153, 25, 125, 19, HOLD
99, 28, 85, 24, HOLD
70, 26, 53, 38, HOLD
81, 23, 93, 11, HOLD
39, 20, 49, 16, HOLD
17, 14, 12, 19, HOLD
81, 5, 45, 18, HOLD
113, 2, 113, 25, HOLD
232, 1, 215, 15, HOLD
255, 11, 255, 31, HOLD
11, 21, 0, 21, HOLD
91, 13, 80, 188, HOLD
119, 11, 129, 21, HOLD
51, 11, 54, 18, HOLD
154, 5, 157, 21, HOLD
129, 8, 115, 28, HOLD
135, 9, 130, 15, HOLD
118, 11, 116, 22, HOLD
139, 11, 128, 22, HOLD
92, 12, 88, 12, HOLD
92, 10, 95, 12, HOLD
113, 8, 114, 23, HOLD
74, 8, 82, 24, HOLD
98, 4, 105, 17, HOLD
156, 2, 132, 19, HOLD
158, 6, 154, 22, HOLD
144, 9, 144, 23, HOLD
128, 11, 129, 18, HOLD
101, 12, 94, 50, HOLD
94, 11, 99, 15, HOLD
138, 9, 143, 30, HOLD
104, 11, 110, 25, HOLD
96, 10, 116, 18, HOLD
127, 8, 134, 20, HOLD
148, 9, 124, 14, HOLD
97, 11, 91, 38, HOLD
237, 9, 231, 6, HOLD
177, 19, 163, 35, HOLD
185, 23, 164, 15, HOLD
197, 28, 170, 20, HOLD
91, 34, 84, 20, HOLD
74, 8, 82, 24, HOLD
98, 4, 105, 17, HOLD
156, 2, 132, 19, HOLD
158, 6, 154, 22, HOLD
144, 9, 144, 23, HOLD
128, 11, 129, 18, HOLD
101, 12, 94, 50, HOLD
94, 11, 99, 15, HOLD
138, 9, 143, 30, HOLD
104, 11, 110, 25, HOLD
96, 10, 116, 18, HOLD
127, 8, 134, 20, HOLD
148, 9, 124, 14, HOLD
97, 11, 91, 38, HOLD
237, 9, 231, 6, HOLD
177, 19, 163, 35, HOLD
185, 23, 164, 15, HOLD
197, 28, 170, 20, HOLD
91, 34, 84, 37, HOLD
97, 32, 115, 25, HOLD
60, 31, 72, 21, HOLD
129, 26, 141, 19, HOLD
121, 27, 121, 28, HOLD
107, 28, 114, 23, HOLD
98, 27, 114, 28, HOLD
149, 25, 114, 15, HOLD
132, 28, 114, 26, HOLD
84, 29, 114, 27, HOLD
76, 26, 114, 13, HOLD
72, 23, 67, 23, HOLD
162, 20, 146, 16, HOLD
141, 23, 138, 32, HOLD
137, 25, 133, 19, HOLD
90, 26, 90, 30, HOLD
100, 24, 99, 17, HOLD
113, 23, 118, 24, HOLD
92, 23, 107, 16, HOLD
135, 21, 125, 22, HOLD
124, 22, 128, 30, HOLD
137, 23, 127, 16, HOLD
113, 24, 98, 28, HOLD
164, 24, 139, 28, HOLD
60, 31, 72, 21, HOLD
129, 26, 141, 19, HOLD
121, 27, 121, 28, HOLD
107, 28, 114, 23, HOLD
98, 27, 114, 28, HOLD
149, 25, 114, 15, HOLD
132, 28, 114, 26, HOLD
84, 29, 114, 27, HOLD
76, 26, 114, 13, HOLD
72, 23, 67, 23, HOLD
162, 20, 146, 16, HOLD
141, 23, 138, 32, HOLD
137, 25, 133, 19, HOLD
90, 26, 90, 30, HOLD
100, 24, 99, 17, HOLD
113, 23, 118, 24, HOLD
92, 23, 107, 16, HOLD
135, 21, 125, 22, HOLD
124, 22, 128, 30, HOLD
137, 23, 127, 16, HOLD
113, 24, 98, 28, HOLD
