Chg, spotDist, metRelChg, volChg, target
121, 46, 131, 43, HOLD
174, 46, 176, 26, HOLD
205, 49, 196, 43, HOLD
117, 54, 125, 25, HOLD
92, 53, 125, 74, HOLD
77, 51, 95, 39, HOLD
116, 47, 124, 41, HOLD
155, 47, 148, 96, HOLD
121, 48, 135, 34, HOLD
92, 48, 89, 29, HOLD
47, 46, 53, 56, HOLD
148, 40, 189, 30, HOLD
180, 41, 197, 103, HOLD
112, 45, 174, 47, HOLD
188, 44, 176, 33, HOLD
110, 48, 111, 91, HOLD
150, 46, 135, 48, HOLD
108, 48, 100, 66, HOLD
84, 47, 112, 37, HOLD
24, 44, 67, 4, HOLD
0, 36, 32, 37, HOLD
57, 27, 60, 93, HOLD
157, 22, 168, 84, HOLD
70, 24, 108, 24, HOLD
126, 20, 153, 36, HOLD
123, 20, 100, 78, HOLD
255, 19, 255, 28, HOLD
154, 28, 163, 104, HOLD
114, 30, 119, 75, HOLD
72, 29, 92, 32, HOLD
36, 25, 65, 18, HOLD
50, 18, 81, 74, HOLD
150, 12, 135, 38, HOLD
121, 14, 122, 59, HOLD
199, 13, 120, 38, HOLD
191, 18, 117, 69, HOLD
102, 23, 159, 81, HOLD
113, 21, 110, 72, HOLD
141, 20, 167, 49, HOLD
105, 21, 154, 25, HOLD
169, 19, 169, 74, HOLD
193, 22, 199, 74, HOLD
24, 44, 67, 4, HOLD
0, 36, 32, 37, HOLD
57, 27, 60, 93, HOLD
157, 22, 168, 84, HOLD
70, 24, 108, 24, HOLD
126, 20, 153, 36, HOLD
123, 20, 100, 78, HOLD
255, 19, 255, 28, HOLD
154, 28, 163, 104, HOLD
114, 30, 119, 75, HOLD
72, 29, 92, 32, HOLD
36, 25, 65, 18, HOLD
50, 18, 81, 74, HOLD
150, 12, 135, 38, HOLD
121, 14, 122, 59, HOLD
199, 13, 120, 38, HOLD
191, 18, 117, 69, HOLD
102, 23, 159, 81, HOLD
113, 21, 110, 72, HOLD
141, 20, 167, 49, HOLD
105, 21, 154, 25, HOLD
169, 19, 169, 74, HOLD
193, 22, 199, 34, HOLD
176, 27, 182, 52, HOLD
88, 30, 62, 74, HOLD
131, 27, 99, 47, HOLD
135, 28, 157, 43, HOLD
103, 28, 116, 28, HOLD
128, 26, 136, 73, HOLD
125, 26, 173, 59, HOLD
93, 26, 102, 22, HOLD
207, 23, 182, 26, HOLD
204, 29, 209, 69, HOLD
127, 34, 108, 79, HOLD
116, 34, 104, 33, HOLD
106, 33, 97, 78, HOLD
68, 32, 63, 49, HOLD
114, 27, 100, 68, HOLD
98, 26, 105, 34, HOLD
63, 24, 77, 40, HOLD
109, 19, 104, 62, HOLD
209, 18, 193, 62, HOLD
131, 27, 99, 47, HOLD
135, 28, 157, 43, HOLD
103, 28, 116, 28, HOLD
128, 26, 136, 73, HOLD
