IV,Delta,Gamma,Theta,Change
255.0,254.99999999999997,0.0,255.0,BUY
205.23788404160956,254.99999999999997,6.297202569086734e-127,255.0,BUY
188.97266349487947,254.99999999999997,2.4889280970360997e-108,255.0,BUY
181.3849689541166,254.99999999999997,3.7414709840427676e-100,255.0,BUY
174.15712442544958,254.99999999999997,1.2768368685308719e-92,255.0,BUY
167.28912990887832,254.99999999999997,1.1474019354627999e-85,255.0,BUY
160.6576082573986,254.99999999999997,3.088253211854302e-79,255.0,BUY
154.27284089992744,254.99999999999997,2.7857844331935984e-73,255.0,BUY
148.07313926296268,254.99999999999997,9.294958885142e-68,255.0,BUY
142.16131763567455,254.99999999999997,1.2512929032994422e-62,255.0,BUY
136.44484315780986,254.99999999999997,7.33994728450687e-58,255.0,BUY
130.90315297153458,254.99999999999997,2.008823380019368e-53,255.0,BUY
125.53624707684867,254.99999999999997,2.7264161136176836e-49,255.0,BUY
120.35440690266915,254.99999999999997,1.9380015143202145e-45,255.0,BUY
115.2959438754939,254.99999999999997,7.577428949853807e-42,255.0,BUY
110.4225465688251,254.99999999999997,1.7032524991863717e-38,255.0,BUY
105.66224498024354,254.99999999999997,2.290646408664969e-35,255.0,BUY
101.01503910974921,254.99999999999997,1.911004843179812e-32,255.0,BUY
96.50149181517621,254.99999999999997,1.0220061780022804e-29,255.0,BUY
92.10104023869043,254.99999999999997,3.6101119697018386e-27,255.0,BUY
87.82396580920894,254.99999999999997,8.655981907920596e-25,255.0,BUY
83.6085799532296,254.99999999999997,1.444382372990813e-22,255.0,BUY
79.5165712442545,254.99999999999997,1.7161507485369723e-20,255.0,BUY
75.47596967986453,254.99999999999997,1.4827314053470895e-18,255.0,BUY
71.55874526247885,254.99999999999997,9.497316054936816e-17,255.0,BUY
67.70320941859529,254.99999999999997,4.591044708525579e-15,255.0,BUY
63.97105072171599,254.99999999999997,1.7027159993826996e-13,254.99999999999983,BUY
60.23889202483671,254.99999999999997,4.919308625648665e-12,254.99999999999514,BUY
56.619829046044686,254.99999999999486,1.1228490159229648e-10,254.99999999988856,BUY
53.06245464075478,254.99999999988776,2.0515209551581683e-09,254.99999999796336,BUY
49.515361664381906,254.9999999982353,3.03701451969028e-08,254.99999996984067,BUY
46.0813644060963,254.9999999773933,3.6842204908493425e-07,254.99999963402476,BUY
