IV,Delta,Gamma,Theta,Premium
255.0,254.99999999999997,0.0,253.15792757302697,0.0
208.70594500387296,254.99999999999997,6.297202569086734e-127,253.15792757302697,0.0
193.6696359411309,254.99999999999997,2.4889280970360997e-108,253.15792757302697,0.0
186.7193551510457,254.99999999999997,3.7414709840427676e-100,253.15792757302697,0.0
179.7814194422928,254.99999999999997,1.2768368685308719e-92,253.15792757302697,0.0
173.4113574748257,254.99999999999997,1.1474019354627999e-85,253.15792757302697,0.0
167.04129550735863,254.99999999999997,3.088253211854302e-79,253.15792757302697,0.0
161.26379744384195,254.99999999999997,2.7857844331935984e-73,253.15792757302697,0.0
155.47395429899302,254.99999999999997,9.294958885142e-68,253.15792757302697,0.0
149.6841111541441,254.99999999999997,1.2512929032994422e-62,253.15792757302697,0.0
144.47448683191323,254.99999999999997,7.33994728450687e-58,253.15792757302697,0.0
139.26486250968242,254.99999999999997,2.008823380019368e-53,253.15792757302697,0.0
134.05523818745158,254.99999999999997,2.7264161136176836e-49,253.15792757302697,0.0
129.14189581719594,254.99999999999997,1.9380015143202145e-45,253.15792757302697,0.0
124.22855344694034,254.99999999999997,7.577428949853807e-42,253.15792757302697,0.0
119.59914794732765,254.99999999999997,1.7032524991863717e-38,253.15792757302697,0.0
115.25367931835785,254.99999999999997,2.290646408664969e-35,253.15792757302697,0.0
110.90821068938807,254.99999999999997,1.911004843179812e-32,253.15792757302697,0.0
106.85902401239349,254.99999999999997,1.0220061780022804e-29,253.15792757302697,0.0
102.525900464756,254.99999999999997,3.6101119697018386e-27,253.15792757302697,0.0
98.47671378776143,254.99999999999997,8.655981907920596e-25,253.15792757302697,0.0
94.71146398140976,254.99999999999997,1.444382372990813e-22,253.15792757302697,0.0
90.66227730441518,254.99999999999997,1.7161507485369723e-20,253.15792757302697,0.0
86.89702749806351,254.99999999999997,1.4827314053470895e-18,253.15792757302697,0.0
83.13177769171185,254.99999999999997,9.497316054936816e-17,253.15792757302697,0.0
79.6628098373354,254.99999999999997,4.591044708525579e-15,253.15792757302697,0.0
76.19384198295894,254.99999999999997,1.7027159993826996e-13,253.1579275730268,0.0
72.72487412858248,254.99999999999972,4.919308625648665e-12,253.1579275730221,0.0
69.24356119287374,254.9999999999941,1.1228490159229648e-10,253.15792757291592,0.0
65.77459333849728,254.99999999988682,2.0515209551581683e-09,253.15792757099769,0.0
62.58956235476375,254.99999999823498,3.03701451969028e-08,253.15792754297743,0.0
59.41687645236251,254.99999997739408,3.6842204908493425e-07,253.15792720839357,0.0
56.23184546862896,254.99999975972565,3.701245322448518e-06,253.15792390885488,0.0
53.04681448489543,254.9999978593081,3.1097242783099584e-05,253.15789677916894,0.0
50.0099244771495,254.99998386239503,0.0002205230551281279,253.15770914544413,0.0
46.97303446940356,254.99989615338527,0.0013312869887186676,253.1566086075501,0.0
