imp_v,spotDist,u%Chg,oLast,target
66,1,41,249,HOLD
66,3,77,243,WRITE
65,5,13,244,WRITE
65,5,43,240,WRITE
65,6,23,242,WRITE
64,5,10,243,WRITE
64,5,23,245,WRITE
64,4,22,243,WRITE
64,5,64,248,WRITE
63,3,10,249,WRITE
63,2,4,249,WRITE
62,3,22,251,WRITE
62,2,6,250,WRITE
62,2,8,250,WRITE
61,2,32,247,WRITE
61,3,64,252,WRITE
60,1,49,248,WRITE
60,3,12,247,WRITE
60,3,43,244,WRITE
59,5,111,253,WRITE
59,1,23,255,WRITE
58,0,47,251,WRITE
58,2,11,250,WRITE
57,2,89,243,WRITE
57,5,38,240,WRITE
56,6,32,242,WRITE
56,5,7,243,WRITE
55,5,16,244,WRITE
55,5,9,243,WRITE
55,5,7,243,WRITE
54,5,38,240,WRITE
54,6,60,245,WRITE
53,4,56,250,WRITE
53,2,32,247,WRITE
52,3,44,243,WRITE
52,5,15,242,WRITE
51,5,19,240,WRITE
51,6,1,240,WRITE
50,6,50,245,WRITE
50,4,66,239,WRITE
49,7,15,238,WRITE
49,7,19,239,WRITE
48,6,9,240,WRITE
48,6,36,237,WRITE
47,7,1,237,WRITE
47,7,4,237,WRITE
46,8,51,233,WRITE
46,9,22,231,WRITE
45,10,97,223,WRITE
45,13,12,222,WRITE
44,14,48,219,WRITE
44,15,36,222,WRITE
44,14,105,214,HOLD
44,17,9,213,HOLD
43,17,3,213,HOLD
43,18,23,215,HOLD
43,17,52,211,HOLD
43,18,39,208,HOLD
43,20,13,207,HOLD
42,20,25,209,HOLD
42,19,1,209,HOLD
42,19,3,209,HOLD
42,19,53,205,HOLD
42,21,9,204,HOLD
42,21,19,203,HOLD
41,22,12,202,HOLD
41,22,37,199,HOLD
41,23,10,200,HOLD
41,23,9,201,HOLD
41,23,35,203,HOLD
41,22,9,203,HOLD
41,22,47,206,HOLD
41,20,28,208,HOLD
41,20,48,212,HOLD
40,18,57,207,HOLD
40,20,72,202,HOLD
40,22,19,201,HOLD
40,23,25,203,HOLD
40,22,39,200,HOLD
40,23,9,199,HOLD
39,23,21,201,HOLD
39,23,16,202,HOLD
39,22,46,199,HOLD
39,23,6,198,HOLD
39,24,85,192,HOLD
39,26,1,192,HOLD
39,26,17,193,HOLD
39,26,143,184,HOLD
39,30,203,198,HOLD
39,24,54,194,HOLD
39,25,0,194,HOLD
39,25,25,193,HOLD
39,26,3,192,HOLD
38,26,32,195,HOLD
38,25,76,200,HOLD
38,23,36,198,HOLD
38,24,106,205,HOLD
38,21,45,202,HOLD
38,22,12,201,HOLD
38,22,3,201,HOLD
38,22,6,202,HOLD
37,22,35,199,HOLD
37,23,50,196,HOLD
37,25,65,201,HOLD
37,23,32,198,HOLD
37,24,43,201,HOLD
37,22,106,194,HOLD
36,25,55,198,HOLD
36,24,9,198,HOLD
36,24,40,201,HOLD
36,22,54,198,HOLD
36,24,35,195,HOLD
36,25,10,194,HOLD
36,25,33,192,HOLD
35,26,9,192,HOLD
35,26,16,190,HOLD
