Chg, spotDist, metRelChg, volChg, target
121, 27, 131, 43, WRITE-
121, 38, 131, 43, WRITE-
121, 49, 131, 43, WRITE-
121, 60, 131, 43, WRITE-
121, 71, 131, 43, HOLD-
121, 82, 131, 43, HOLD-
121, 93, 131, 43, HOLD-
121, 104, 131, 43, HOLD-
121, 115, 131, 43, HOLD-
121, 126, 131, 43, HOLD-
121, 137, 131, 43, HOLD-
121, 148, 131, 43, HOLD-
121, 159, 131, 43, HOLD-
121, 170, 131, 43, HOLD-
121, 181, 131, 43, BUY-
121, 192, 131, 43, BUY-
121, 203, 131, 43, BUY-
121, 215, 131, 43, BUY-
121, 226, 131, 43, BUY-
174, 26, 176, 26, WRITE-
174, 37, 176, 26, WRITE-
174, 48, 176, 26, WRITE-
174, 59, 176, 26, WRITE-
174, 70, 176, 26, HOLD-
174, 81, 176, 26, HOLD-
174, 92, 176, 26, HOLD-
174, 103, 176, 26, HOLD-
174, 114, 176, 26, HOLD-
174, 125, 176, 26, HOLD-
174, 136, 176, 26, HOLD-
174, 147, 176, 26, HOLD-
174, 158, 176, 26, HOLD-
174, 169, 176, 26, HOLD-
174, 180, 176, 26, BUY-
174, 191, 176, 26, BUY-
174, 202, 176, 26, BUY-
174, 214, 176, 26, BUY-
174, 225, 176, 26, BUY-
205, 32, 196, 43, WRITE-
205, 43, 196, 43, WRITE-
205, 54, 196, 43, WRITE-
205, 65, 196, 43, WRITE-
205, 76, 196, 43, HOLD-
205, 87, 196, 43, HOLD-
205, 98, 196, 43, HOLD-
205, 109, 196, 43, HOLD-
205, 120, 196, 43, HOLD-
205, 131, 196, 43, HOLD-
205, 142, 196, 43, HOLD-
205, 153, 196, 43, HOLD-
205, 164, 196, 43, HOLD-
205, 175, 196, 43, HOLD-
205, 187, 196, 43, BUY-
205, 198, 196, 43, BUY-
205, 209, 196, 43, BUY-
205, 220, 196, 43, BUY-
205, 231, 196, 43, BUY-
117, 42, 128, 25, WRITE-
117, 53, 128, 25, WRITE-
117, 64, 128, 25, WRITE-
117, 75, 128, 25, WRITE-
117, 86, 128, 25, HOLD-
117, 97, 128, 25, HOLD-
117, 108, 128, 25, HOLD-
117, 119, 128, 25, HOLD-
117, 130, 128, 25, HOLD-
117, 141, 128, 25, HOLD-
117, 152, 128, 25, HOLD-
117, 163, 128, 25, HOLD-
117, 174, 128, 25, HOLD-
117, 185, 128, 25, HOLD-
117, 197, 128, 25, BUY-
117, 208, 128, 25, BUY-
117, 219, 128, 25, BUY-
117, 230, 128, 25, BUY-
117, 241, 128, 25, BUY-
92, 40, 110, 74, WRITE-
92, 51, 110, 74, WRITE-
92, 63, 110, 74, WRITE-
92, 74, 110, 74, WRITE-
92, 85, 110, 74, HOLD-
92, 96, 110, 74, HOLD-
92, 107, 110, 74, HOLD-
92, 118, 110, 74, HOLD-
92, 129, 110, 74, HOLD-
92, 140, 110, 74, HOLD-
92, 151, 110, 74, HOLD-
92, 162, 110, 74, HOLD-
92, 173, 110, 74, HOLD-
92, 184, 110, 74, HOLD-
92, 195, 110, 74, BUY-
92, 206, 110, 74, BUY-
92, 217, 110, 74, BUY-
92, 228, 110, 74, BUY-
92, 239, 110, 74, BUY-
77, 36, 95, 39, WRITE-
77, 47, 95, 39, WRITE-
77, 58, 95, 39, WRITE-
77, 69, 95, 39, WRITE-
77, 80, 95, 39, WRITE-
77, 91, 95, 39, HOLD-
77, 102, 95, 39, HOLD-
77, 113, 95, 39, HOLD-
77, 124, 95, 39, HOLD-
77, 135, 95, 39, HOLD-
77, 146, 95, 39, HOLD-
77, 157, 95, 39, HOLD-
77, 168, 95, 39, HOLD-
77, 179, 95, 39, HOLD-
77, 190, 95, 39, BUY-
77, 201, 95, 39, BUY-
77, 212, 95, 39, BUY-
77, 223, 95, 39, BUY-
77, 234, 95, 39, BUY-
116, 29, 124, 41, WRITE-
116, 40, 124, 41, WRITE-
116, 51, 124, 41, WRITE-
116, 62, 124, 41, WRITE-
116, 73, 124, 41, WRITE-
116, 84, 124, 41, HOLD-
116, 95, 124, 41, HOLD-
116, 106, 124, 41, HOLD-
116, 117, 124, 41, HOLD-
116, 128, 124, 41, HOLD-
116, 139, 124, 41, HOLD-
116, 150, 124, 41, HOLD-
116, 161, 124, 41, HOLD-
116, 172, 124, 41, HOLD-
116, 183, 124, 41, BUY-
116, 194, 124, 41, BUY-
116, 205, 124, 41, BUY-
116, 216, 124, 41, BUY-
116, 227, 124, 41, BUY-
155, 27, 148, 96, WRITE-
155, 38, 148, 96, WRITE-
155, 49, 148, 96, WRITE-
155, 60, 148, 96, WRITE-
155, 71, 148, 96, WRITE-
155, 82, 148, 96, HOLD-
155, 93, 148, 96, HOLD-
155, 104, 148, 96, HOLD-
155, 115, 148, 96, HOLD-
155, 126, 148, 96, HOLD-
155, 138, 148, 96, HOLD-
155, 149, 148, 96, HOLD-
155, 160, 148, 96, HOLD-
155, 171, 148, 96, HOLD-
155, 182, 148, 96, BUY-
155, 193, 148, 96, BUY-
155, 204, 148, 96, BUY-
155, 215, 148, 96, BUY-
155, 226, 148, 96, BUY-
121, 31, 135, 34, WRITE-
121, 42, 135, 34, WRITE-
121, 53, 135, 34, WRITE-
121, 64, 135, 34, WRITE-
121, 75, 135, 34, WRITE-
121, 86, 135, 34, HOLD-
121, 97, 135, 34, HOLD-
121, 108, 135, 34, HOLD-
121, 119, 135, 34, HOLD-
121, 130, 135, 34, HOLD-
121, 141, 135, 34, HOLD-
121, 152, 135, 34, HOLD-
121, 163, 135, 34, HOLD-
121, 174, 135, 34, HOLD-
121, 185, 135, 34, BUY-
121, 196, 135, 34, BUY-
121, 207, 135, 34, BUY-
121, 219, 135, 34, BUY-
121, 230, 135, 34, BUY-
92, 30, 89, 29, WRITE-
92, 41, 89, 29, WRITE-
92, 52, 89, 29, WRITE-
92, 63, 89, 29, WRITE-
92, 74, 89, 29, WRITE-
92, 85, 89, 29, HOLD-
92, 96, 89, 29, HOLD-
92, 107, 89, 29, HOLD-
92, 118, 89, 29, HOLD-
92, 129, 89, 29, HOLD-
92, 140, 89, 29, HOLD-
92, 151, 89, 29, HOLD-
92, 162, 89, 29, HOLD-
92, 173, 89, 29, HOLD-
92, 184, 89, 29, BUY-
92, 196, 89, 29, BUY-
92, 207, 89, 29, BUY-
92, 218, 89, 29, BUY-
92, 229, 89, 29, BUY-
47, 36, 53, 56, WRITE-
47, 47, 53, 56, WRITE-
47, 58, 53, 56, WRITE-
47, 69, 53, 56, WRITE-
47, 80, 53, 56, HOLD-
47, 91, 53, 56, HOLD-
47, 102, 53, 56, HOLD-
47, 113, 53, 56, HOLD-
47, 124, 53, 56, HOLD-
47, 135, 53, 56, HOLD-
47, 146, 53, 56, HOLD-
47, 157, 53, 56, HOLD-
47, 168, 53, 56, HOLD-
47, 180, 53, 56, BUY-
47, 191, 53, 56, BUY-
47, 202, 53, 56, BUY-
47, 213, 53, 56, BUY-
47, 224, 53, 56, BUY-
148, 24, 189, 30, WRITE-
148, 35, 189, 30, WRITE-
148, 47, 189, 30, WRITE-
148, 58, 189, 30, WRITE-
148, 69, 189, 30, HOLD-
148, 80, 189, 30, HOLD-
148, 91, 189, 30, HOLD-
148, 102, 189, 30, HOLD-
148, 113, 189, 30, HOLD-
148, 124, 189, 30, HOLD-
148, 135, 189, 30, HOLD-
148, 146, 189, 30, HOLD-
148, 157, 189, 30, HOLD-
148, 168, 189, 30, BUY-
148, 179, 189, 30, BUY-
148, 190, 189, 30, BUY-
148, 201, 189, 30, BUY-
148, 212, 189, 30, BUY-
180, 27, 197, 103, WRITE-
180, 38, 197, 103, WRITE-
180, 49, 197, 103, WRITE-
180, 60, 197, 103, WRITE-
180, 71, 197, 103, HOLD-
180, 82, 197, 103, HOLD-
180, 94, 197, 103, HOLD-
180, 105, 197, 103, HOLD-
180, 116, 197, 103, HOLD-
180, 127, 197, 103, HOLD-
180, 138, 197, 103, HOLD-
180, 149, 197, 103, HOLD-
180, 160, 197, 103, HOLD-
180, 171, 197, 103, BUY-
180, 182, 197, 103, BUY-
180, 193, 197, 103, BUY-
180, 204, 197, 103, BUY-
180, 215, 197, 103, BUY-
112, 34, 174, 47, WRITE-
112, 45, 174, 47, WRITE-
112, 56, 174, 47, WRITE-
112, 67, 174, 47, WRITE-
112, 78, 174, 47, HOLD-
112, 90, 174, 47, HOLD-
112, 101, 174, 47, HOLD-
112, 112, 174, 47, HOLD-
