imp_v,spotDist,u%Chg,oLast,target
0,83,8,0,WRITE
0,97,5,9,HOLD
0,59,2,0,HOLD
0,83,32,1,WRITE
0,84,43,0,WRITE
0,96,32,2,WRITE
0,36,57,0,HOLD
0,63,47,0,WRITE
0,68,36,0,HOLD
0,87,23,0,WRITE
0,73,43,1,HOLD
0,76,50,1,HOLD
0,66,43,0,WRITE
0,95,38,2,WRITE
0,91,23,1,WRITE
0,35,9,0,HOLD
0,68,64,0,WRITE
0,124,25,33,HOLD
0,47,34,0,HOLD
0,181,19,128,HOLD
0,104,13,3,WRITE
0,75,64,0,WRITE
0,185,2,135,HOLD
0,90,21,4,HOLD
0,77,10,0,WRITE
0,198,21,157,HOLD
0,71,26,1,HOLD
0,228,43,209,HOLD
0,72,28,1,HOLD
0,74,4,0,WRITE
0,91,97,1,WRITE
0,66,22,0,WRITE
0,86,9,1,WRITE
0,95,43,0,WRITE
0,83,32,0,WRITE
0,78,23,0,WRITE
0,59,35,0,HOLD
0,87,32,1,WRITE
0,105,20,14,HOLD
0,93,44,2,WRITE
0,95,23,0,WRITE
0,96,1,3,WRITE
0,232,7,215,HOLD
0,94,12,2,WRITE
0,86,38,1,WRITE
0,102,34,11,HOLD
0,95,15,2,WRITE
0,200,17,160,HOLD
0,74,8,0,WRITE
0,65,8,0,WRITE
0,34,9,0,HOLD
0,65,32,0,WRITE
0,43,34,0,HOLD
0,93,10,0,WRITE
0,62,37,0,HOLD
0,87,60,1,WRITE
0,53,22,0,HOLD
0,134,16,51,HOLD
0,86,38,1,WRITE
0,77,13,0,WRITE
0,86,10,0,WRITE
0,52,65,0,HOLD
0,71,27,1,HOLD
0,232,53,215,HOLD
0,124,83,36,HOLD
0,65,6,0,WRITE
0,150,5,77,HOLD
0,204,40,167,HOLD
0,123,6,31,HOLD
0,154,55,83,HOLD
0,199,12,158,HOLD
0,53,18,0,HOLD
0,66,12,0,WRITE
0,65,4,0,WRITE
0,63,71,0,HOLD
0,124,3,37,HOLD
0,100,41,1,WRITE
0,83,11,0,WRITE
0,105,36,8,WRITE
0,106,9,9,HOLD
0,202,35,165,HOLD
0,109,41,8,BUY
0,126,40,41,HOLD
0,82,49,0,WRITE
0,49,33,0,HOLD
0,23,50,0,HOLD
0,104,23,4,WRITE
0,68,23,0,WRITE
0,67,38,1,HOLD
0,94,66,3,WRITE
0,83,4,0,WRITE
0,73,49,0,WRITE
0,66,10,0,WRITE
0,95,7,2,WRITE
0,121,66,28,HOLD
0,222,9,198,HOLD
0,96,36,3,WRITE
0,92,89,1,WRITE
0,104,43,3,WRITE
0,211,25,180,HOLD
0,206,8,172,HOLD
0,77,36,0,HOLD
0,89,4,1,WRITE
0,90,22,1,WRITE
0,92,8,1,WRITE
0,95,48,2,WRITE
0,82,9,2,HOLD
0,74,32,0,WRITE
0,240,34,230,HOLD
0,173,19,115,HOLD
0,68,13,0,WRITE
0,35,0,0,HOLD
0,95,10,0,WRITE
0,95,111,2,WRITE
0,113,50,19,HOLD
0,191,17,146,HOLD
0,84,10,0,WRITE
0,105,23,4,WRITE
0,186,40,137,HOLD
0,177,54,121,HOLD
0,88,9,1,WRITE
0,93,22,1,WRITE
0,5,43,0,HOLD
0,92,11,1,WRITE
0,62,15,0,HOLD
0,95,16,2,WRITE
0,65,11,0,WRITE
0,95,7,2,WRITE
0,92,32,1,WRITE
0,87,19,1,WRITE
0,82,23,0,WRITE
0,87,36,1,WRITE
0,121,12,29,HOLD
0,96,60,3,WRITE
0,85,22,0,WRITE
0,96,23,1,WRITE
0,176,3,119,HOLD
0,84,64,0,WRITE
0,229,10,211,HOLD
0,147,25,73,HOLD
0,86,23,0,WRITE
0,86,15,1,WRITE
0,81,47,0,WRITE
0,85,66,1,WRITE
0,68,10,0,WRITE
0,67,22,0,WRITE
0,161,18,95,HOLD
0,21,9,0,HOLD
0,152,18,80,HOLD
0,77,43,0,WRITE
0,163,62,97,HOLD
0,96,19,3,WRITE
0,171,42,112,HOLD
0,156,77,85,HOLD
0,65,127,0,HOLD
0,84,44,1,WRITE
0,191,24,146,HOLD
0,68,43,0,WRITE
0,92,32,2,WRITE
0,92,4,0,WRITE
0,97,1,4,WRITE
0,137,88,54,HOLD
0,203,2,166,HOLD
0,102,18,8,HOLD
0,75,43,0,WRITE
0,61,65,0,HOLD
0,152,37,80,HOLD
0,85,19,2,HOLD
0,66,64,0,WRITE
0,235,35,221,HOLD
0,94,22,1,WRITE
0,102,2,11,HOLD
0,157,10,89,HOLD
0,95,64,0,WRITE
0,92,6,0,WRITE
0,179,3,125,HOLD
0,63,19,0,HOLD
0,31,47,0,HOLD
0,63,46,0,HOLD
0,193,12,149,HOLD
0,179,32,125,HOLD
0,75,22,0,WRITE
0,119,60,30,HOLD
0,106,85,13,HOLD
0,88,15,1,WRITE
0,231,19,214,HOLD
0,99,3,3,WRITE
0,91,49,1,WRITE
0,63,23,0,HOLD
0,83,6,0,WRITE
0,88,1,1,WRITE
0,75,10,0,WRITE
0,222,30,199,HOLD
0,98,9,3,WRITE
0,95,105,2,WRITE
0,95,43,5,HOLD
0,155,6,84,HOLD
0,88,19,1,WRITE
0,100,5,7,HOLD
0,93,43,1,WRITE
0,214,7,184,HOLD
0,85,12,1,HOLD
0,86,7,1,WRITE
0,28,49,0,HOLD
0,98,51,4,WRITE
0,118,23,27,HOLD
0,235,13,221,HOLD
0,182,19,130,HOLD
0,104,48,7,WRITE
0,147,79,70,HOLD
0,149,35,73,HOLD
0,93,64,1,WRITE
0,99,22,4,WRITE
0,86,43,0,WRITE
0,64,49,0,WRITE
0,86,111,1,WRITE
0,98,4,4,WRITE
0,86,64,0,WRITE
0,27,57,0,HOLD
0,206,71,171,HOLD
0,206,11,171,HOLD
0,217,62,190,HOLD
0,68,111,0,WRITE
0,39,24,0,HOLD
0,165,21,100,HOLD
0,95,38,2,WRITE
0,72,48,1,HOLD
0,178,48,124,HOLD
0,96,36,3,WRITE
0,194,9,151,HOLD
0,90,10,4,HOLD
0,83,89,0,WRITE
0,105,10,4,WRITE
0,132,19,48,HOLD
0,87,50,1,WRITE
0,87,1,1,WRITE
0,77,64,0,WRITE
0,94,56,2,WRITE
0,108,28,15,HOLD
0,97,19,3,WRITE
0,88,53,3,HOLD
0,86,16,1,WRITE
0,244,69,236,HOLD
0,208,9,174,HOLD
0,62,22,0,HOLD
0,154,6,83,HOLD
0,173,2,114,HOLD
0,143,22,66,HOLD
0,85,122,4,HOLD
0,223,69,201,HOLD
0,94,25,6,HOLD
0,95,13,0,WRITE
0,74,6,0,WRITE
0,181,69,128,HOLD
0,99,23,4,WRITE
0,84,22,0,WRITE
0,85,56,1,WRITE
0,71,22,1,HOLD
0,89,51,1,WRITE
0,180,14,128,HOLD
0,96,50,3,WRITE
0,69,23,0,WRITE
0,212,48,181,HOLD
0,90,47,1,WRITE
0,84,12,0,WRITE
0,82,55,2,HOLD
0,119,21,26,HOLD
0,97,15,3,WRITE
0,28,23,0,HOLD
0,86,7,1,WRITE
0,207,24,173,HOLD
0,148,12,72,HOLD
0,95,9,2,WRITE
0,64,23,0,WRITE
0,179,18,126,HOLD
0,212,31,182,HOLD
0,86,13,0,WRITE
0,97,9,3,WRITE
0,75,12,0,WRITE
0,66,39,0,HOLD
0,28,49,0,HOLD
0,93,12,1,WRITE
0,111,35,18,HOLD
0,71,18,1,HOLD
0,37,5,0,HOLD
0,103,12,6,WRITE
0,220,1,196,HOLD
0,77,23,0,WRITE
0,145,41,67,HOLD
0,37,10,0,HOLD
0,100,97,4,WRITE
0,76,22,0,WRITE
0,117,3,25,HOLD
0,145,13,68,HOLD
0,85,34,2,HOLD
0,96,106,5,HOLD
0,151,43,78,HOLD
