imp_v,spotDist,u%Chg,oLast,target
39,105,6,17,WRITE
0,130,10,8,HOLD
0,141,60,0,BUY
0,95,23,27,WRITE
0,82,49,58,WRITE
0,101,25,19,WRITE
49,7,15,238,WRITE
0,198,1,0,HOLD
65,5,13,244,WRITE
0,131,48,1,BUY
0,86,23,48,WRITE
0,101,13,20,WRITE
42,100,53,20,WRITE
54,96,60,27,WRITE
0,98,52,25,WRITE
0,123,60,2,BUY
0,158,13,0,BUY
54,86,38,49,WRITE
0,114,19,6,BUY
0,116,1,5,BUY
0,207,58,1,HOLD
53,2,32,247,WRITE
42,102,9,18,WRITE
0,114,36,6,BUY
0,132,19,1,BUY
0,87,23,45,WRITE
0,163,53,0,HOLD
0,67,50,95,HOLD
41,103,47,18,WRITE
0,126,21,8,HOLD
0,123,10,1,BUY
0,128,11,1,BUY
0,118,49,2,BUY
0,142,15,0,BUY
33,144,12,2,HOLD
0,111,12,5,BUY
0,163,21,2,HOLD
0,149,38,0,BUY
0,158,43,0,BUY
0,99,23,23,WRITE
0,115,15,5,BUY
0,110,11,8,BUY
50,94,66,32,WRITE
55,5,16,244,WRITE
0,55,41,123,HOLD
0,149,7,0,BUY
0,56,53,121,HOLD
0,235,21,2,HOLD
0,147,15,2,HOLD
45,13,12,222,WRITE
36,58,54,115,HOLD
0,111,64,4,BUY
40,103,39,19,WRITE
0,144,47,0,BUY
48,6,9,240,WRITE
0,65,31,98,HOLD
0,108,0,20,HOLD
33,67,50,95,HOLD
0,138,12,0,BUY
32,138,28,3,HOLD
0,120,22,1,BUY
0,104,13,9,WRITE
0,132,50,1,BUY
40,99,57,24,WRITE
62,2,8,250,WRITE
0,142,9,0,BUY
55,86,9,51,WRITE
0,119,32,1,BUY
0,138,4,0,BUY
0,141,1,0,BUY
41,101,28,21,WRITE
0,96,32,26,WRITE
0,224,3,2,HOLD
0,123,19,2,BUY
32,84,12,57,HOLD
39,104,16,18,WRITE
0,140,43,0,BUY
0,94,22,29,WRITE
0,114,31,14,HOLD
0,99,48,28,HOLD
0,136,23,0,BUY
40,101,72,22,WRITE
0,110,9,16,HOLD
34,171,4,2,HOLD
65,5,43,240,WRITE
0,140,64,0,BUY
63,3,10,249,WRITE
0,84,12,54,WRITE
51,5,19,240,WRITE
0,99,3,23,WRITE
44,15,36,222,WRITE
36,51,9,133,HOLD
0,127,97,1,BUY
0,131,38,1,BUY
0,121,44,3,BUY
0,128,8,0,BUY
0,111,43,5,BUY
0,128,8,7,HOLD
0,97,9,27,WRITE
0,95,16,30,WRITE
33,144,46,2,HOLD
0,115,19,5,BUY
0,127,49,1,BUY
44,14,48,219,WRITE
58,2,11,250,WRITE
0,125,13,8,HOLD
64,5,64,248,WRITE
0,149,16,0,BUY
0,85,22,50,WRITE
59,1,23,255,WRITE
0,225,10,1,HOLD
64,4,22,243,WRITE
0,114,60,5,BUY
0,76,38,74,HOLD
0,113,7,6,BUY
0,129,22,0,BUY
0,207,71,1,HOLD
0,195,106,0,HOLD
55,86,16,49,WRITE
35,70,83,87,HOLD
0,196,116,2,HOLD
0,187,5,1,HOLD
0,145,97,0,HOLD
0,94,4,39,HOLD
0,119,11,3,BUY
0,129,43,1,BUY
0,132,10,0,BUY
0,113,16,5,BUY
0,111,10,3,BUY
0,83,32,55,WRITE
0,147,43,0,BUY
47,7,1,237,WRITE
0,65,19,98,HOLD
35,34,54,174,HOLD
0,123,36,2,BUY
0,130,66,1,BUY
0,141,19,0,BUY
45,91,97,38,WRITE
0,123,32,1,BUY
0,140,7,0,BUY
0,138,10,0,BUY
